epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
121,18782.7,0.71445,0.64917,1.13081,0.67262,0.62423,0.70956,0.49539,1.07977,1.37933,1.47186,5.2e-05,5.2e-05,5.2e-05
122,18938.2,0.71524,0.66741,1.136,0.64038,0.68883,0.72549,0.50279,1.08162,1.23527,1.48719,5.035e-05,5.035e-05,5.035e-05
123,19092.7,0.70507,0.65027,1.113,0.667,0.66617,0.71965,0.50163,1.09535,1.24837,1.49965,4.87e-05,4.87e-05,4.87e-05
124,19247.5,0.70569,0.6653,1.13435,0.67585,0.59908,0.71053,0.48984,1.10862,1.28184,1.521,4.705e-05,4.705e-05,4.705e-05
125,19402.8,0.71124,0.6793,1.14188,0.73409,0.64218,0.72668,0.49406,1.10346,1.21304,1.52089,4.54e-05,4.54e-05,4.54e-05
126,19557.7,0.71796,0.65494,1.12846,0.69885,0.66879,0.76141,0.52104,1.11355,1.14507,1.51552,4.375e-05,4.375e-05,4.375e-05
127,19712.5,0.69871,0.64935,1.11595,0.61891,0.7118,0.74673,0.51596,1.0894,1.1495,1.48762,4.21e-05,4.21e-05,4.21e-05
128,19868.5,0.72053,0.6692,1.13909,0.68193,0.66619,0.74214,0.51105,1.10282,1.15653,1.50531,4.045e-05,4.045e-05,4.045e-05
129,20022.9,0.70967,0.66802,1.12661,0.63858,0.7195,0.74129,0.50896,1.10294,1.18429,1.50495,3.88e-05,3.88e-05,3.88e-05
130,20177.6,0.70424,0.65093,1.11927,0.68262,0.69819,0.72462,0.51119,1.09653,1.21733,1.49427,3.715e-05,3.715e-05,3.715e-05
131,20332.8,0.70643,0.66847,1.13079,0.69642,0.70333,0.73504,0.50835,1.10126,1.15594,1.50648,3.55e-05,3.55e-05,3.55e-05
132,20487.6,0.69398,0.64602,1.12211,0.67425,0.73762,0.74178,0.51809,1.08995,1.19483,1.50091,3.385e-05,3.385e-05,3.385e-05
133,20642.5,0.696,0.65113,1.12657,0.6596,0.70816,0.7098,0.49527,1.1117,1.20068,1.52067,3.22e-05,3.22e-05,3.22e-05
134,20798.4,0.69475,0.64245,1.12354,0.676,0.65877,0.71701,0.50425,1.11084,1.1828,1.51362,3.055e-05,3.055e-05,3.055e-05
135,20954.1,0.69113,0.63658,1.12114,0.61578,0.73503,0.74489,0.51849,1.09702,1.12879,1.51332,2.89e-05,2.89e-05,2.89e-05
136,21108.5,0.68579,0.63523,1.12365,0.6285,0.73418,0.71967,0.50744,1.08515,1.20134,1.50605,2.725e-05,2.725e-05,2.725e-05
137,21263.2,0.6884,0.6448,1.11103,0.6874,0.65254,0.72894,0.50782,1.09421,1.23857,1.51048,2.56e-05,2.56e-05,2.56e-05
138,21418,0.67103,0.62384,1.10377,0.67226,0.70654,0.73815,0.51403,1.07174,1.19455,1.511,2.395e-05,2.395e-05,2.395e-05
139,21572.3,0.68473,0.6322,1.11195,0.68284,0.68705,0.74241,0.52669,1.06713,1.25122,1.5013,2.23e-05,2.23e-05,2.23e-05
140,21727.1,0.68412,0.62576,1.11223,0.66491,0.68164,0.73877,0.51231,1.07718,1.25563,1.50285,2.065e-05,2.065e-05,2.065e-05
141,21884.1,0.6516,0.56502,1.07882,0.59334,0.77988,0.74547,0.52691,1.089,1.11703,1.50784,1.9e-05,1.9e-05,1.9e-05
142,22039.3,0.64187,0.55782,1.08544,0.72964,0.6651,0.74689,0.52479,1.06993,1.1245,1.49974,1.735e-05,1.735e-05,1.735e-05
143,22193.2,0.63053,0.51895,1.0762,0.67217,0.68122,0.74895,0.5253,1.07303,1.13175,1.49333,1.57e-05,1.57e-05,1.57e-05
144,22347.4,0.61546,0.51702,1.05384,0.63888,0.73208,0.74766,0.52871,1.07896,1.11081,1.49993,1.405e-05,1.405e-05,1.405e-05
145,22503.3,0.62892,0.53165,1.07098,0.63607,0.74971,0.75891,0.52985,1.08225,1.13497,1.50538,1.24e-05,1.24e-05,1.24e-05
146,22658.3,0.61369,0.51868,1.05875,0.62873,0.68323,0.73978,0.51199,1.07921,1.14386,1.50272,1.075e-05,1.075e-05,1.075e-05
147,22813.2,0.60743,0.50401,1.0588,0.66674,0.70057,0.74741,0.51875,1.08009,1.1409,1.49399,9.1e-06,9.1e-06,9.1e-06
148,22968.1,0.62361,0.5275,1.07066,0.71275,0.71129,0.75878,0.53214,1.07464,1.13063,1.49081,7.45e-06,7.45e-06,7.45e-06
149,23123.5,0.60073,0.49951,1.05477,0.64443,0.71281,0.75222,0.52086,1.08443,1.12949,1.50386,5.8e-06,5.8e-06,5.8e-06
150,23278,0.62319,0.51342,1.06772,0.68256,0.69533,0.75043,0.52759,1.08625,1.1378,1.50118,4.15e-06,4.15e-06,4.15e-06
